PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,FamilySize,IsAlone,FarePerPerson,Sex_Male,Embarked_Q,Embarked_S,Title_Col,Title_Don,Title_Dr,Title_Jonkheer,Title_Lady,Title_Major,Title_Master,Title_Miss,Title_Mlle,Title_Mme,Title_Mr,Title_Mrs,Title_Ms,Title_Rev,Title_Sir,Title_the Countess
1,0,3,22.0,1.0,0,7.25,2.0,0,3.625,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,1,1,38.0,1.0,0,65.6344,2.0,0,32.8172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,1,3,26.0,0.0,0,7.925,1.0,1,7.925,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,1,1,35.0,1.0,0,53.1,2.0,0,26.55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0,3,35.0,0.0,0,8.05,1.0,1,8.05,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,3,28.0,0.0,0,8.4583,1.0,1,8.4583,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,0,1,54.0,0.0,0,51.8625,1.0,1,51.8625,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,0,3,2.5,2.5,0,21.075,3.5,0,6.021428571428571,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,1,3,27.0,0.0,0,11.1333,1.0,1,11.1333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,1,2,14.0,1.0,0,30.0708,2.0,0,15.0354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11,1,3,4.0,1.0,0,16.7,2.0,0,8.35,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,1,1,54.5,0.0,0,26.55,1.0,1,26.55,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,0,3,20.0,0.0,0,8.05,1.0,1,8.05,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14,0,3,39.0,1.0,0,31.275,2.0,0,15.6375,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15,0,3,14.0,0.0,0,7.8542,1.0,1,7.8542,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,1,2,54.5,0.0,0,16.0,1.0,1,16.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17,0,3,2.5,2.5,0,29.125,3.5,0,8.321428571428571,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18,1,2,28.0,0.0,0,13.0,1.0,1,13.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
19,0,3,31.0,1.0,0,18.0,2.0,0,9.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20,1,3,28.0,0.0,0,7.225,1.0,1,7.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21,0,2,35.0,0.0,0,26.0,1.0,1,26.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22,1,2,34.0,0.0,0,13.0,1.0,1,13.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23,1,3,15.0,0.0,0,8.0292,1.0,1,8.0292,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24,1,1,28.0,0.0,0,35.5,1.0,1,35.5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25,0,3,8.0,2.5,0,21.075,3.5,0,6.021428571428571,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,1,3,38.0,1.0,0,31.3875,2.0,0,15.69375,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
27,0,3,28.0,0.0,0,7.225,1.0,1,7.225,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
28,0,1,19.0,2.5,0,65.6344,3.5,0,18.752685714285715,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
29,1,3,28.0,0.0,0,7.8792,1.0,1,7.8792,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30,0,3,28.0,0.0,0,7.8958,1.0,1,7.8958,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
31,0,1,40.0,0.0,0,27.7208,1.0,1,27.7208,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1,1,28.0,1.0,0,65.6344,2.0,0,32.8172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
33,1,3,28.0,0.0,0,7.75,1.0,1,7.75,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
34,0,2,54.5,0.0,0,10.5,1.0,1,10.5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
35,0,1,28.0,1.0,0,65.6344,2.0,0,32.8172,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36,0,1,42.0,1.0,0,52.0,2.0,0,26.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
37,1,3,28.0,0.0,0,7.2292,1.0,1,7.2292,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
38,0,3,21.0,0.0,0,8.05,1.0,1,8.05,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
39,0,3,18.0,2.0,0,18.0,3.0,0,6.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40,1,3,14.0,1.0,0,11.2417,2.0,0,5.62085,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
41,0,3,40.0,1.0,0,9.475,2.0,0,4.7375,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
42,0,2,27.0,1.0,0,21.0,2.0,0,10.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
43,0,3,28.0,0.0,0,7.8958,1.0,1,7.8958,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
44,1,2,3.0,1.0,0,41.5792,2.0,0,20.7896,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45,1,3,19.0,0.0,0,7.8792,1.0,1,7.8792,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
46,0,3,28.0,0.0,0,8.05,1.0,1,8.05,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
47,0,3,28.0,1.0,0,15.5,2.0,0,7.75,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
48,1,3,28.0,0.0,0,7.75,1.0,1,7.75,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
49,0,3,28.0,2.0,0,21.6792,3.0,0,7.226400000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50,0,3,18.0,1.0,0,17.8,2.0,0,8.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
51,0,3,7.0,2.5,0,39.6875,3.5,0,11.339285714285714,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
52,0,3,21.0,0.0,0,7.8,1.0,1,7.8,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
53,1,1,49.0,1.0,0,65.6344,2.0,0,32.8172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
54,1,2,29.0,1.0,0,26.0,2.0,0,13.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
55,0,1,54.5,0.0,0,61.9792,1.0,1,61.9792,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
56,1,1,28.0,0.0,0,35.5,1.0,1,35.5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
57,1,2,21.0,0.0,0,10.5,1.0,1,10.5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
58,0,3,28.5,0.0,0,7.2292,1.0,1,7.2292,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
59,1,2,5.0,1.0,0,27.75,2.0,0,13.875,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
60,0,3,11.0,2.5,0,46.9,3.5,0,13.4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
61,0,3,22.0,0.0,0,7.2292,1.0,1,7.2292,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
62,1,1,38.0,0.0,0,65.6344,1.0,1,65.6344,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
63,0,1,45.0,1.0,0,65.6344,2.0,0,32.8172,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
64,0,3,4.0,2.5,0,27.9,3.5,0,7.971428571428571,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
65,0,1,28.0,0.0,0,27.7208,1.0,1,27.7208,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
66,1,3,28.0,1.0,0,15.2458,2.0,0,7.6229,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
67,1,2,29.0,0.0,0,10.5,1.0,1,10.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
68,0,3,19.0,0.0,0,8.1583,1.0,1,8.1583,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
69,1,3,17.0,2.5,0,7.925,3.5,0,2.2642857142857142,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
70,0,3,26.0,2.0,0,8.6625,3.0,0,2.8874999999999997,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
71,0,2,32.0,0.0,0,10.5,1.0,1,10.5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72,0,3,16.0,2.5,0,46.9,3.5,0,13.4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
73,0,2,21.0,0.0,0,65.6344,1.0,1,65.6344,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
74,0,3,26.0,1.0,0,14.4542,2.0,0,7.2271,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
75,1,3,32.0,0.0,0,56.4958,1.0,1,56.4958,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
76,0,3,25.0,0.0,0,7.65,1.0,1,7.65,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
77,0,3,28.0,0.0,0,7.8958,1.0,1,7.8958,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
78,0,3,28.0,0.0,0,8.05,1.0,1,8.05,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
79,1,2,2.5,0.0,0,29.0,1.0,1,29.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
80,1,3,30.0,0.0,0,12.475,1.0,1,12.475,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
81,0,3,22.0,0.0,0,9.0,1.0,1,9.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
82,1,3,29.0,0.0,0,9.5,1.0,1,9.5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
83,1,3,28.0,0.0,0,7.7875,1.0,1,7.7875,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
84,0,1,28.0,0.0,0,47.1,1.0,1,47.1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
85,1,2,17.0,0.0,0,10.5,1.0,1,10.5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
86,1,3,33.0,2.5,0,15.85,3.5,0,4.5285714285714285,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
